"Course","LessonId","ChallengeId","ChallengeTitle","Issue","StarterLength","SolutionLength","HasPlaceholder"
"flutter","1.3","1.3-challenge-0","Practice Challenge","IDENTICAL","43","43","False"
"flutter","1.7","1.7-challenge-0","Practice Challenge","IDENTICAL","56","56","False"
"flutter","2.1","2.1-challenge-0","Practice Challenge","IDENTICAL","178","178","True"
"flutter","2.5","2.5-challenge-0","Practice Challenge","IDENTICAL","202","202","False"
"flutter","2.7","2.7-challenge-0","Refactor to Shorthands","TOO_SIMILAR","974","918","False"
"flutter","13.8","13.8-project-0","Complete Todo App","TOO_SIMILAR","211","139","False"
"flutter","15.8","15.8-project-0","Complete Notes App with Offline Sync","TOO_SIMILAR","738","740","False"
"javascript","4.1","4.1-challenge","Practice Challenge","TOO_SIMILAR","85","78","False"
"javascript","5.6","5.6-challenge-1","Practice Challenge: Safe Data Access","TOO_SIMILAR","512","548","False"
"javascript","5.6","5.6-challenge-2","Practice Challenge: Safe Method Calls","TOO_SIMILAR","548","496","False"
"javascript","6.1","6.1-challenge","Practice Challenge","TOO_SIMILAR","211","214","False"
"javascript","6.2","6.2-challenge","Practice Challenge","TOO_SIMILAR","267","254","False"
"javascript","7.1","7.1-challenge","Practice Challenge","TOO_SIMILAR","286","200","False"
"javascript","7.3","7.3-challenge","Practice Challenge","TOO_SIMILAR","422","265","False"
"javascript","7.4","7.4-challenge","Practice Challenge","TOO_SIMILAR","303","266","False"
"javascript","8.1","8.1-challenge","Practice Challenge","TOO_SIMILAR","214","181","False"
"javascript","8.2","8.2-challenge","Practice Challenge","TOO_SIMILAR","266","261","False"
"javascript","8.3","8.3-challenge","Import Configuration Safely","TOO_SIMILAR","96","87","False"
"javascript","15.2","15.2-challenge","Write Your First Tests","TOO_SIMILAR","812","776","False"
"javascript","15.6","15.6-challenge","Organize a Test Suite","TOO_SIMILAR","1779","1549","False"
"javascript","15.7","15.7-challenge","Configure Coverage & CI","TOO_SIMILAR","1392","1261","False"
"javascript","16.5","16.5-challenge","Convert JSDoc to TypeScript","TOO_SIMILAR","242","164","False"
"javascript","17.4","17.4-challenge","Parse Config Lines","TOO_SIMILAR","188","109","False"
"kotlin","1.4","1.4.1","Create and Print Variable","TOO_SIMILAR","95","48","False"
"kotlin","1.4","1.4.2","String Template","TOO_SIMILAR","85","66","False"
"kotlin","1.5","1.5.1","Calculate Sum","TOO_SIMILAR","84","81","False"
"kotlin","1.7","1.7.1","Create a Simple Function","TOO_SIMILAR","86","67","False"
"kotlin","1.8","1.8.1","Function with Parameter","TOO_SIMILAR","115","107","False"
"kotlin","1.8","1.8.2","Function with Multiple Parameters","TOO_SIMILAR","106","98","False"
"kotlin","2.4","2.4.1","Count to 10","TOO_SIMILAR","56","62","False"
"kotlin","2.4","2.4.2","Sum of Range","TOO_SIMILAR","94","92","False"
"kotlin","3.2","3.2.2","Safe Call and Elvis Operator","TOO_SIMILAR","196","185","False"
"kotlin","4.1","4.1.1","Simple Lambda","TOO_SIMILAR","121","103","False"
"kotlin","4.1","4.1.2","Higher-Order Function","TOO_SIMILAR","317","306","False"
"kotlin","4.3","4.3.1","Partition a List","TOO_SIMILAR","203","188","False"
"kotlin","4.3","4.3.2","Sequence for Large Data","TOO_SIMILAR","132","131","False"
"kotlin","5.1","5.1.1","Create a Simple Route","TOO_SIMILAR","161","85","False"
"kotlin","5.1","5.1.3","URL Path Parameters","TOO_SIMILAR","136","123","False"
"kotlin","5.2","5.2.2","Simple In-Memory Database","TOO_SIMILAR","487","498","False"
"kotlin","6.1","6.1.1","Component Props Simulation","TOO_SIMILAR","128","134","False"
"kotlin","6.1","6.1.2","State Management Simulation","TOO_SIMILAR","362","394","False"
"kotlin","6.1","6.1.3","Event Handler Simulation","TOO_SIMILAR","288","270","False"
"kotlin","6.2","6.2.1","Form State Management","TOO_SIMILAR","397","358","False"
"kotlin","6.2","6.2.3","Todo List State","TOO_SIMILAR","600","654","False"
"kotlin","7.1","7.1.3","Authentication Token Management","TOO_SIMILAR","789","858","False"
"python","module-03-lesson-01","module-03-lesson-01-challenge-1","Practice Exercise","TOO_SIMILAR","750","745","False"
"python","module-03-lesson-02","module-03-lesson-02-challenge-1","Practice Exercise","TOO_SIMILAR","1157","1241","False"
"python","module-03-lesson-04","module-03-lesson-04-challenge-1","Practice Exercise","TOO_SIMILAR","651","627","False"
"python","module-03-lesson-05","module-03-lesson-05-challenge-1","Practice Exercise","TOO_SIMILAR","871","908","False"
"python","module-03-lesson-06","module-03-lesson-06-challenge-1","Practice Exercise","TOO_SIMILAR","1350","1381","False"
"python","module-04-lesson-05","module-04-lesson-05-challenge-1","Practice Exercise","TOO_SIMILAR","4534","4431","False"
"python","module-05-lesson-01","module-05-lesson-01-challenge-1","Practice Exercise","TOO_SIMILAR","1127","1197","False"
"python","module-05-lesson-02","module-05-lesson-02-challenge-1","Practice Exercise","TOO_SIMILAR","1872","1830","False"
"python","module-05-lesson-03","module-05-lesson-03-challenge-1","Practice Exercise","TOO_SIMILAR","2202","2137","False"
"python","module-05-lesson-04","module-05-lesson-04-challenge-1","Practice Exercise","TOO_SIMILAR","2306","2283","False"
"python","module-05-lesson-05","module-05-lesson-05-challenge-1","Practice Exercise","TOO_SIMILAR","2031","1743","False"
